Node	 Parent	 Time	 SigClade
1065	602	8	0
1066	11	3	0
1067	699	5	0
1068	920	6	0
1069	9	4	0
1070	152	4	0
1071	508	6	0
1072	9	4	0
1073	658	5	0
1074	562	6	0
1075	700	7	0
1076	47	6	0
1077	221	6	0
1078	850	5	0
1079	26	6	0
1080	40	4	0
1081	19	5	0
1082	97	3	0
1083	3	2	0
1084	679	5	0
1085	40	3	0
1086	39	3	0
1087	37	6	0
1088	562	5	0
1089	193	7	0
1090	264	5	0
1091	121	6	0
1092	122	5	0
1093	127	4	0
1094	472	5	0
1095	18	5	0
1096	339	6	0
1097	809	5	0
1098	228	7	0
1099	20	4	0
1100	481	5	0
1101	17	4	0
1102	460	5	0
1103	16	6	0
1104	402	7	0
1105	136	6	0
1106	835	5	0
1107	121	6	0
1108	25	6	0
1109	294	6	0
1110	461	4	0
1111	361	4	0
1112	134	7	0
1113	367	5	0
1114	470	7	0
1115	438	5	0
1116	468	7	0
1117	207	5	0
1118	87	6	0
1119	2	2	0
1120	133	5	0
1121	3	2	0
1122	59	6	0
1123	41	5	0
1124	169	6	0
1125	539	6	0
1126	48	7	0
1127	162	6	0
1128	340	8	0
1129	169	6	0
1130	615	7	0
1131	1	3	0
1132	937	9	0
1133	192	6	0
1134	372	8	0
1135	350	7	0
1136	28	4	0
1137	1	2	0
1138	66	6	0
1139	746	5	0
1140	141	6	0
1141	184	3	0
1142	312	5	0
1143	111	6	0
1144	346	4	0
1145	376	5	0
1146	388	8	0
1147	539	6	0
1148	156	4	0
1149	519	3	0
1150	669	4	0
1151	36	2	0
1152	886	7	0
1153	410	5	0
1154	414	6	0
1155	658	5	0
1156	311	6	0
1157	469	4	0
1158	110	4	0
1159	412	7	0
1160	615	7	0
1161	296	6	0
1162	82	2	0
1163	54	5	0
1164	12	5	0
1165	891	3	0
1166	493	5	0
1167	257	6	0
1168	84	5	0
1169	15	5	0
1170	706	6	0
1171	140	5	0
1172	557	6	0
1173	6	3	0
1174	563	6	0
1175	8	3	0
1176	31	5	0
1177	48	6	0
1178	17	4	0
1179	211	6	0
1180	410	5	0
1181	12	4	0
1182	138	7	0
1183	20	5	0
1184	250	4	0
1185	201	7	0
1186	12	5	0
1187	446	7	0
1188	333	6	0
1189	176	4	0
1190	72	6	0
1191	395	7	0
1192	205	5	0
1193	849	6	0
1194	750	7	0
1195	719	4	0
1196	489	7	0
1197	724	5	0
1198	339	6	0
1199	622	4	0
1200	693	8	0
1201	886	7	0
1202	283	8	0
1203	351	5	0
1204	612	5	0
1205	243	5	0
1206	563	7	0
1207	6	3	0
1208	7	4	0
1209	274	5	0
1210	198	4	0
1211	171	5	0
1212	541	6	0
1213	64	5	0
