Node	 Parent	 Time	 SigClade
793	1	3	0
794	362	6	0
795	52	4	0
796	155	4	0
797	15	3	0
798	127	2	0
799	16	4	0
800	283	5	0
801	26	4	0
802	26	3	0
803	45	6	0
804	23	5	0
805	38	7	0
806	623	6	0
807	135	5	0
808	5	4	0
809	82	4	0
810	414	5	0
811	45	3	0
812	86	5	0
813	176	5	0
814	51	5	0
815	61	7	0
816	339	5	0
817	299	4	0
818	193	7	0
819	55	3	0
820	769	8	0
821	516	5	0
822	314	5	0
823	94	6	0
824	86	6	0
825	52	4	0
826	19	5	0
827	49	3	0
828	37	6	0
829	133	5	0
830	6	4	0
831	185	6	0
832	727	5	0
833	119	4	0
834	51	5	0
835	2	3	0
836	414	4	0
837	642	5	0
838	628	6	0
839	389	5	0
840	385	6	0
841	432	6	0
842	22	4	0
843	36	4	0
844	210	5	0
845	261	5	0
846	214	7	0
847	241	8	0
848	1	3	0
849	84	4	0
850	352	6	0
851	57	4	0
852	685	5	0
853	216	3	0
854	114	5	0
855	467	3	0
856	799	4	0
857	166	5	0
858	470	6	0
859	323	5	0
860	210	5	0
861	642	4	0
862	434	7	0
863	104	7	0
864	106	5	0
865	371	5	0
866	328	4	0
867	136	5	0
868	168	4	0
869	29	4	0
870	5	4	0
871	63	4	0
872	387	4	0
873	183	5	0
874	225	4	0
875	564	5	0
876	81	3	0
877	106	5	0
878	96	6	0
879	19	4	0
880	481	5	0
881	47	6	0
882	123	5	0
883	32	6	0
884	71	4	0
885	129	4	0
886	55	4	0
887	629	6	0
888	56	5	0
889	6	3	0
890	20	3	0
891	207	4	0
892	67	5	0
893	422	6	0
894	504	7	0
895	517	9	0
896	21	6	0
897	293	3	0
898	15	3	0
899	133	5	0
900	135	6	0
901	381	5	0
902	125	5	0
903	270	6	0
904	116	4	0
905	291	5	0
906	458	6	0
907	103	5	0
908	4	3	0
909	179	5	0
910	668	4	0
911	31	5	0
912	668	4	0
913	720	5	0
914	48	4	0
915	150	5	0
916	232	5	0
917	588	7	0
918	46	6	0
919	12	4	0
920	396	6	0
921	397	6	0
922	24	2	0
923	227	6	0
924	103	5	0
925	588	7	0
926	95	5	0
927	628	6	0
928	95	6	0
929	87	4	0
930	335	4	0
931	97	7	0
932	29	4	0
933	236	5	0
934	679	7	0
935	112	3	0
936	293	5	0
937	219	5	0
938	127	6	0
939	81	5	0
940	247	3	0
941	818	7	0
942	592	7	0
943	105	4	0
944	207	4	0
945	144	8	0
946	356	6	0
947	51	2	0
948	290	5	0
949	247	4	0
950	227	5	0
951	32	5	0
952	22	6	0
953	207	4	0
954	516	6	0
955	300	4	0
956	165	5	0
957	19	3	0
958	543	6	0
959	305	8	0
960	255	6	0
961	479	2	0
962	121	5	0
963	58	3	0
964	5	4	0
965	120	5	0
966	111	5	0
967	95	4	0
968	24	3	0
969	272	5	0
970	727	5	0
971	38	4	0
972	7	4	0
973	328	4	0
974	509	3	0
975	91	6	0
976	140	5	0
977	775	5	0
978	855	4	0
979	142	4	0
980	136	5	0
981	301	3	0
982	220	3	0
983	36	3	0
984	156	5	0
985	195	4	0
986	518	6	0
987	15	4	0
988	292	4	0
989	882	5	0
990	63	4	0
991	271	6	0
992	94	5	0
993	630	6	0
994	12	5	0
995	1	3	0
996	506	5	0
997	397	6	0
998	289	5	0
999	533	7	0
1000	79	5	0
1001	134	5	0
1002	516	4	0
1003	447	7	0
1004	527	7	0
1005	24	4	0
1006	356	6	0
1007	2	4	0
1008	851	5	0
1009	799	5	0
1010	104	7	0
1011	138	6	0
1012	227	7	0
1013	63	5	0
1014	42	5	0
1015	67	6	0
1016	101	5	0
1017	291	5	0
1018	491	5	0
1019	506	3	0
1020	466	4	0
1021	80	6	0
1022	210	4	0
1023	218	4	0
1024	817	5	0
1025	79	5	0
1026	105	3	0
1027	2	3	0
1028	367	6	0
1029	450	7	0
1030	693	6	0
1031	301	4	0
1032	2	4	0
1033	842	4	0
1034	64	3	0
1035	252	7	0
1036	353	6	0
1037	40	3	0
1038	136	4	0
1039	6	4	0
1040	583	8	0
1041	519	5	0
1042	16	5	0
1043	218	3	0
1044	294	5	0
1045	696	6	0
1046	458	6	0
1047	16	4	0
1048	763	5	0
1049	619	6	0
1050	63	6	0
1051	233	4	0
1052	780	6	0
1053	681	5	0
1054	189	6	0
1055	399	6	0
1056	76	4	0
1057	438	6	0
1058	244	5	0
1059	212	4	0
1060	30	3	0
1061	500	6	0
1062	201	6	0
1063	49	3	0
1064	147	6	0
1065	188	5	0
1066	64	4	0
1067	518	7	0
1068	453	7	0
1069	27	5	0
1070	559	6	0
1071	932	5	0
1072	292	4	0
1073	155	3	0
1074	802	5	0
1075	115	5	0
1076	5	4	0
1077	375	5	0
1078	389	5	0
1079	527	8	0
1080	995	5	0
1081	376	7	0
1082	105	4	0
1083	268	5	0
1084	282	3	0
1085	57	5	0
1086	134	5	0
1087	303	5	0
1088	759	7	0
1089	174	5	0
1090	131	6	0
1091	120	4	0
1092	161	4	0
1093	156	5	0
1094	78	4	0
1095	1036	7	0
1096	381	4	0
1097	687	6	0
1098	72	6	0
1099	102	6	0
1100	40	4	0
1101	209	5	0
1102	583	7	0
1103	458	7	0
1104	572	5	0
1105	110	6	0
1106	340	6	0
1107	301	4	0
1108	269	6	0
1109	470	4	0
1110	785	3	0
1111	519	6	0
1112	148	5	0
1113	693	6	0
1114	414	4	0
1115	117	5	0
1116	14	5	0
1117	393	6	0
1118	739	5	0
1119	386	3	0
1120	184	4	0
1121	512	6	0
1122	962	6	0
1123	269	4	0
1124	79	5	0
1125	0	2	0
1126	86	4	0
1127	265	6	0
1128	417	6	0
1129	51	3	0
1130	695	7	0
1131	121	4	0
1132	282	4	0
1133	256	4	0
1134	470	6	0
1135	588	8	0
1136	505	4	0
1137	119	4	0
1138	1026	5	0
1139	104	7	0
1140	238	6	0
1141	143	4	0
1142	79	3	0
1143	637	5	0
1144	91	5	0
1145	5	4	0
1146	785	5	0
1147	184	6	0
1148	71	4	0
1149	807	6	0
1150	219	4	0
1151	785	5	0
1152	186	5	0
1153	207	4	0
1154	24	4	0
1155	222	4	0
1156	42	5	0
1157	524	5	0
1158	19	3	0
1159	72	5	0
1160	2	3	0
1161	184	5	0
1162	372	4	0
1163	773	8	0
1164	611	5	0
1165	995	5	0
1166	577	7	0
1167	142	4	0
1168	702	7	0
1169	35	4	0
1170	184	5	0
1171	463	5	0
1172	210	4	0
1173	592	5	0
1174	24	2	0
1175	375	5	0
1176	463	6	0
1177	588	8	0
1178	256	3	0
1179	1	3	0
1180	48	5	0
1181	232	6	0
1182	325	6	0
1183	515	7	0
1184	705	7	0
1185	134	3	0
1186	108	3	0
1187	504	7	0
1188	239	6	0
1189	31	5	0
1190	295	6	0
1191	403	6	0
1192	608	5	0
1193	785	4	0
1194	0	1	0
1195	491	6	0
1196	10	3	0
1197	205	4	0
1198	268	6	0
1199	463	5	0
1200	356	5	0
1201	4	4	0
1202	444	5	0
1203	901	7	0
1204	80	5	0
1205	25	2	0
1206	882	6	0
1207	489	7	0
1208	26	4	0
1209	916	5	0
1210	26	4	0
1211	97	7	0
1212	148	5	0
1213	603	6	0
1214	57	5	0
1215	389	5	0
1216	301	4	0
1217	73	5	0
1218	713	6	0
1219	1182	7	0
1220	141	5	0
1221	133	5	0
1222	174	7	0
1223	274	4	0
1224	693	7	0
1225	331	6	0
1226	131	5	0
1227	0	2	0
1228	295	6	0
1229	672	6	0
1230	592	7	0
1231	44	3	0
1232	68	5	0
1233	173	5	0
1234	661	6	0
1235	1228	6	0
1236	725	5	0
1237	413	7	0
1238	8	5	0
1239	52	4	0
1240	268	3	0
1241	88	3	0
1242	58	4	0
1243	323	5	0
1244	36	5	0
1245	725	7	0
1246	252	6	0
1247	1002	6	0
1248	109	6	0
1249	91	5	0
1250	58	4	0
1251	519	5	0
1252	657	4	0
1253	292	4	0
1254	104	6	0
1255	483	5	0
1256	151	5	0
1257	91	5	0
1258	15	3	0
1259	462	6	0
1260	269	5	0
1261	73	3	0
1262	119	4	0
1263	859	7	0
1264	35	5	0
1265	287	6	0
1266	312	4	0
1267	559	7	0
1268	457	4	0
1269	482	4	0
1270	376	7	0
1271	609	6	0
1272	265	6	0
1273	26	4	0
1274	30	2	0
1275	397	7	0
1276	173	3	0
1277	114	7	0
1278	227	5	0
1279	22	5	0
1280	329	4	0
1281	734	7	0
1282	437	4	0
1283	329	2	0
1284	52	4	0
1285	6	2	0
1286	274	4	0
1287	337	5	0
1288	507	6	0
1289	397	6	0
1290	696	6	0
1291	516	4	0
1292	352	7	0
1293	384	8	0
1294	71	4	0
1295	175	4	0
1296	117	4	0
1297	830	4	0
1298	50	6	0
1299	125	4	0
1300	550	5	0
1301	113	3	0
1302	362	6	0
1303	56	4	0
1304	210	3	0
1305	152	6	0
1306	168	4	0
1307	606	6	0
1308	504	8	0
1309	399	6	0
1310	96	6	0
1311	781	6	0
1312	634	4	0
1313	227	7	0
1314	362	6	0
1315	147	6	0
1316	111	3	0
1317	441	4	0
1318	515	8	0
1319	285	4	0
1320	557	2	0
1321	82	5	0
1322	94	6	0
1323	350	5	0
1324	194	7	0
1325	51	3	0
1326	444	5	0
1327	12	4	0
1328	22	5	0
1329	302	7	0
1330	125	4	0
1331	115	4	0
1332	86	5	0
1333	980	7	0
1334	735	5	0
1335	592	7	0
1336	521	5	0
1337	616	5	0
1338	295	5	0
1339	600	5	0
1340	1234	7	0
1341	713	7	0
1342	588	7	0
1343	94	6	0
1344	1025	4	0
1345	437	4	0
1346	490	5	0
1347	948	7	0
1348	304	5	0
1349	575	6	0
1350	415	7	0
1351	252	7	0
1352	300	6	0
1353	516	5	0
1354	156	5	0
1355	400	4	0
1356	241	6	0
1357	48	6	0
1358	502	6	0
1359	357	5	0
1360	127	4	0
1361	366	5	0
1362	323	6	0
1363	24	4	0
1364	380	7	0
1365	343	6	0
1366	12	5	0
1367	638	4	0
1368	411	3	0
1369	939	6	0
1370	318	6	0
1371	822	6	0
1372	444	3	0
1373	1008	6	0
1374	1201	4	0
1375	620	5	0
1376	52	4	0
1377	843	4	0
1378	31	4	0
1379	518	4	0
1380	31	2	0
1381	32	6	0
1382	1071	3	0
1383	316	6	0
1384	618	6	0
1385	330	7	0
1386	721	5	0
1387	327	7	0
1388	395	4	0
1389	116	6	0
1390	480	5	0
1391	151	3	0
